Identifier,project_url,general_description,objectives,beneficiaries,status,notes
P-MG-AA0-016,https://mapafrica.afdb.org/en/projects/46002-P-MG-AA0-016,"On the one hand, the Line of Credit would reduce the importation of essential food items such as poultry products and beef through expansion in the production of these items in the domestic market. On the other, it would promote the production of high value horticultural export crops and improved processing of traditional export items such as wool and mohair.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-MG-AA0-016
P-BF-AB0-006,https://mapafrica.afdb.org/en/projects/46002-P-BF-AB0-006,"Le projet vise la valorisation de l'eau pour l'alimentation humaine, animale et pour l'irrigation.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-BF-AB0-006
P-ML-AB0-001,https://mapafrica.afdb.org/en/projects/46002-P-ML-AB0-001,,"L'objectif du projet est d'augmenter les superficies plantées de 87.000 ha à 137.000ha pour le coton, de 2.000 ha à 4.600 ha pour le kénaf, de 6.500 ha à 14.500 ha pour le maïs amélioré, et, de 4.100 ha à 11.600 ha pour le riz amélioré, en fournissant aux exploitants de la zone du projet des services de vulgarisation, des possibilités de multiplication des semences, des crédits saisonniers à moyens terme, et de la recherche appliquée. Le projet prévoit :  - de développer les installations de traitement de coton, de kénaf et de riz,  - d'étendre les programmes de santé dans la zone ;  - et de former le personnel de la CMDT(Compagnie Malienne pour le Développement des Textiles), les agriculteurs et les forgerons.",,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ML-AB0-001
P-SZ-AA0-004,https://mapafrica.afdb.org/en/projects/46002-P-SZ-AA0-004,"The proposed project seeks to develop about 8,400 hectares (net) of land for irrigated sugar cane production and install a sugar mill to manufacture about 110,000 tons raw sugar per annum each.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-SZ-AA0-004
P-BI-AA0-003,https://mapafrica.afdb.org/en/projects/46002-P-BI-AA0-003,"Description du projet et composantes :        Description : Le projet comporte les elements suivants:      -  la mise ne place future d'un organisme opérationel dôté de     structures appropriées et d'un personnel qualifié.      -  la construction des hangars (pour le stockage et la     conservation des produits vivriers ) et des bâtiments à usage     de bureaux;      -  l'acquisition des moyens de transport pour la distribution     des produits ;       - l'acquisition des équipement pour le séchage, le     traitement et la conservation des produits stockés;      -  l'acquisition des services d'une assistance technique      -  la fourniture des matières consommables ;      -  le recrutement du personnel expatrié.  ii) composantes NTF      -   construction des hangars pour le stockage et l'entroposage     des produits et des bâtiments à usage de bureau; -   l'acquisition des équipements pour le stockage , le séchage et le traitement des produits stockés.      -  l'acquisition des vehicules pour le traitement des produits.      -  la fourniture de matières consommables",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-BI-AA0-003
P-TZ-AA0-013,https://mapafrica.afdb.org/en/projects/46002-P-TZ-AA0-013,,,,not_found,no working URL found
P-ET-AA0-002,https://mapafrica.afdb.org/en/projects/46002-P-ET-AA0-002,"Le projet consiste à mettre au point et à installer un système d'irrigation par gravité qui desservira 7.500 ha de terre dans la moyenne vallé du fleuve Awash. Sur ce total, 6.700 ha seront aménagés en fermes d'Etat pour la production de coton; les autres 800 ha seront aménagés en tant que fermes familiales pour la culture du coton, du maïs et des haricots. Le système d'irrigation par pompage qui dessert actuellement un périmètre de quelque 2.800 ha sera converti en système d'irrigation par gravité.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ET-AA0-002
P-RW-AA0-003,https://mapafrica.afdb.org/en/projects/46002-P-RW-AA0-003,,"The project is in line with the Government of Rwanda's general objective of diversifying industrial crops, and with the specific objectives of the second five-year plan. It aims to improve the living conditions of a very underprivileged population, and to improve the country's balance of trade by generating foreign currency.",,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-RW-AA0-003
P-UG-AA0-017,https://mapafrica.afdb.org/en/projects/46002-P-UG-AA0-017,Les principales activités qui ont sous-tendu les réalisations ci-dessus peuvent se résumer comme suit : - organisation et formation des paysans en matière de santé et nutrition équilibrée;,,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-UG-AA0-017
P-MW-AB0-002,https://mapafrica.afdb.org/en/projects/46002-P-MW-AB0-002,,Project objectives were to improve the food self-relance position and balance of trade of Malawi; to improve the social welfare of the people. The main project purpose thus was to increase the production of food and cash crops.,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-MW-AB0-002
P-ML-AA0-001,https://mapafrica.afdb.org/en/projects/46002-P-ML-AA0-001,,"L'objectif de ce projet en matière agricole est de réduire le déficit vivrier et de développer les cultures industrielles. Il permettra, grâce à la mise en place d'un programme de production, de contôle de certification et de diffusion des semences sélectionnées, d'accroître les rendement agricoles et de diffuser des techniques culturales modernes, ce qui aura pour conséquence l'augmentation des revenus agricoles et la réduction des importations.",,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ML-AA0-001
P-KE-AA0-002,https://mapafrica.afdb.org/en/projects/46002-P-KE-AA0-002,"By Government : Government should speed up fulfillment of the conditions precedent to release of the second tranche. The Government should inform the Bank as to when the Dairy Development Project will come into operation, who will be financing the project and by what date the actions proposed would be taken.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-KE-AA0-002
P-GH-AA0-011,https://mapafrica.afdb.org/en/projects/46002-P-GH-AA0-011,The main project activities include : i) geotechnical and site surveys; ii) preparation of detailed engineering design and tender documents; iii) manufacture and devivery of equipment; iv) erection and commissioning of the various components of the project; and v) supervision of project implementation.,,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-GH-AA0-011
P-MU-AA0-002,https://mapafrica.afdb.org/en/projects/46002-P-MU-AA0-002,1. Recruitment of consutlants for PMU under technical assistance. 2. Procurement of goods and services required by the project.,,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-MU-AA0-002
P-BF-AA0-003,https://mapafrica.afdb.org/en/projects/46002-P-BF-AA0-003,"Le projet vise la valorisation de l'eau pour l'alimentation humaine, animale et pour l'irrigation.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-BF-AA0-003
P-ML-AA0-008,https://mapafrica.afdb.org/en/projects/46002-P-ML-AA0-008,"Les activités réalisées par le projet étaient les suivantes : -Recherche de financement - Etude d'avant projet et projet de développement du réseau de télécommunication - Elaboration des cahiers de charge des differentes composantes - Elaboration des dossiers d'appel d'offre. - Sélection des Entreprises, fournisseurs et Consultants - Mise en oeuvre des differentes Composantes, Suivi exécution du projet - Receptions provisoires de Composantes.",,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ML-AA0-008
P-ET-AAE-002,https://mapafrica.afdb.org/en/projects/46002-P-ET-AAE-002,a) Techniques          : Aucun b) Financiers            : Mise en place du financement c) En matière d'environnement : Aucun d) Ecologiques           : Aucun e) De politique générale : Aucun,,,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-ET-AAE-002
P-TD-AA0-001,https://mapafrica.afdb.org/en/projects/46002-P-TD-AA0-001,,"l'objectif du projet est de mettre en place le minimum nécessaire pour la reprise normale des activités aéroportuaires, c'est-à-dire non seulement les équipements radio-électriques indispensables à la sécurité de la navigation aérienne, mais aussi les installations de traitement des passagers et du fret à l'embarquement et au débarquement, ainsi que le minimum d'installations nécessaires aux compagnies et au personnel travaillant à l'aéroport.",,ok,sections extracted successfully; working URL: https://mapafrica.afdb.org/en/projects/46002-P-TD-AA0-001
